Cldn13	Cldn11
Cldn13	Cldn17
Cldn13	Cldn19
Cldn13	Cldn7
Cldn13	Cldn6
Cldn13	Cldn8
Cldn13	Cldn14
Cldn13	Cldn18
Cldn13	Cldn9
Cldn13	Cldn13
Cldn13	Cldn10
Cldn13	Cldn15
Cldn13	Cldn20
Cldn13	Cldn23
Cldn13	Cldn34c4
Cldn13	Cldn34d
Cldn13	Cldn22
Cldn10	Cldn24
Cldn10	Cldn16
Cldn10	Cldn1
Cldn10	Cldn2
Cldn10	Cldn3
Cldn10	Cldn4
Cldn10	Cldn5
Cldn10	Cldn11
Cldn10	Cldn17
Cldn10	Cldn19
Cldn10	Cldn7
Cldn10	Cldn6
Cldn10	Cldn8
Cldn10	Cldn14
Cldn10	Cldn18
Cldn10	Cldn9
Cldn10	Cldn13
Cldn10	Cldn10
Cldn10	Cldn15
Cldn10	Cldn20
Cldn10	Cldn23
Cldn10	Cldn34c4
Cldn10	Cldn34d
Cldn10	Cldn22
Cldn15	Cldn24
Cldn15	Cldn16
Cldn15	Cldn1
Cldn15	Cldn2
Cldn15	Cldn3
Cldn15	Cldn4
Cldn15	Cldn5
Cldn15	Cldn11
Cldn15	Cldn17
Cldn15	Cldn19
Cldn15	Cldn7
Cldn15	Cldn6
Cldn15	Cldn8
Cldn15	Cldn14
Cldn15	Cldn18
Cldn15	Cldn9
Cldn15	Cldn13
Cldn15	Cldn10
Cldn15	Cldn15
Cldn15	Cldn20
Cldn15	Cldn23
Cldn15	Cldn34c4
Cldn15	Cldn34d
Cldn15	Cldn22
Cldn20	Cldn24
Cldn20	Cldn16
Cldn20	Cldn1
Cldn20	Cldn2
Cldn20	Cldn3
Cldn20	Cldn4
Cldn20	Cldn5
Cldn20	Cldn11
Cldn20	Cldn17
Cldn20	Cldn19
Cldn20	Cldn7
Cldn20	Cldn6
Cldn20	Cldn8
Cldn20	Cldn14
Cldn20	Cldn18
Cldn20	Cldn9
Cldn20	Cldn13
Cldn20	Cldn10
Cldn20	Cldn15
Cldn20	Cldn20
Cldn20	Cldn23
Cldn20	Cldn34c4
Cldn20	Cldn34d
Cldn20	Cldn22
Cldn23	Cldn24
Cldn23	Cldn16
Cldn23	Cldn1
Cldn23	Cldn2
Cldn23	Cldn3
Cldn23	Cldn4
Cldn23	Cldn5
Cldn23	Cldn11
Cldn23	Cldn17
Cldn23	Cldn19
Cldn23	Cldn7
Cldn23	Cldn6
Cldn23	Cldn8
Cldn23	Cldn14
Cldn23	Cldn18
Cldn23	Cldn9
Cldn23	Cldn13
Cldn23	Cldn10
Cldn23	Cldn15
Cldn23	Cldn20
Cldn23	Cldn23
Cldn23	Cldn34c4
Cldn23	Cldn34d
Cldn23	Cldn22
Cldn34c4	Cldn24
Cldn34c4	Cldn16
Cldn34c4	Cldn1
Cldn34c4	Cldn2
Cldn34c4	Cldn3
Cldn34c4	Cldn4
Cldn34c4	Cldn5
Cldn34c4	Cldn11
Cldn34c4	Cldn17
Cldn34c4	Cldn19
Cldn34c4	Cldn7
Cldn34c4	Cldn6
Cldn34c4	Cldn8
Cldn34c4	Cldn14
Cldn34c4	Cldn18
Cldn34c4	Cldn9
Cldn34c4	Cldn13
Cldn34c4	Cldn10
Cldn34c4	Cldn15
Cldn34c4	Cldn20
Cldn34c4	Cldn23
Cldn34c4	Cldn34c4
Cldn34c4	Cldn34d
Cldn34c4	Cldn22
Cldn34d	Cldn24
Cldn34d	Cldn16
Cldn34d	Cldn1
Cldn34d	Cldn2
Cldn34d	Cldn3
Cldn34d	Cldn4
Cldn34d	Cldn5
Cldn34d	Cldn11
Cldn34d	Cldn17
Cldn34d	Cldn19
Cldn34d	Cldn7
Cldn34d	Cldn6
Cldn34d	Cldn8
Cldn34d	Cldn14
Cldn34d	Cldn18
Cldn34d	Cldn9
Cldn34d	Cldn13
Cldn34d	Cldn10
Cldn34d	Cldn15
Cldn34d	Cldn20
Cldn34d	Cldn23
Cldn34d	Cldn34c4
Cldn34d	Cldn34d
Cldn34d	Cldn22
Cldn22	Cldn24
Cldn22	Cldn16
Cldn22	Cldn1
Cldn22	Cldn2
Cldn22	Cldn3
Cldn22	Cldn4
Cldn22	Cldn5
Cldn22	Cldn11
Cldn22	Cldn17
Cldn22	Cldn19
Cldn22	Cldn7
Cldn22	Cldn6
Cldn22	Cldn8
Cldn22	Cldn14
Cldn22	Cldn18
Cldn22	Cldn9
Cldn22	Cldn13
Cldn22	Cldn10
Cldn22	Cldn15
Cldn22	Cldn20
Cldn22	Cldn23
Cldn22	Cldn34c4
Cldn22	Cldn34d
Cldn22	Cldn22
Icosl	Icos
Icosl	Cd28
Icosl	Ctla4
Lrrc4c	Ntng1
Lrrc4	Ntng2
Lrrc4b	Ptprf
